Animal,Treatment,Time,Y,Age,Size
1,1,0,-0.3,8,0
1,1,30,-0.2,8,0
1,1,60,1.2,8,0
1,1,90,3.1,8,0
2,1,0,-0.5,10,0
2,1,30,2.2,10,0
2,1,60,3.3,10,0
2,1,90,3.7,10,0
3,1,0,-1.1,9,0
3,1,30,2.4,9,0
3,1,60,2.2,9,0
3,1,90,2.7,9,0
4,1,0,1,5,0
4,1,30,1.7,5,0
4,1,60,2.1,5,0
4,1,90,2.5,5,0
5,1,0,-0.3,4,0
5,1,30,0.8,4,0
5,1,60,0.6,4,0
5,1,90,0.9,4,0
6,2,0,-1.1,5,0
6,2,30,-2.2,5,0
6,2,60,0.2,5,0
6,2,90,0.3,5,0
7,2,0,-1.4,3,0
7,2,30,-0.2,3,0
7,2,60,-0.5,3,0
7,2,90,-0.1,3,0
8,2,0,-0.1,4,1
8,2,30,-0.1,4,1
8,2,60,-0.5,4,1
8,2,90,-0.3,4,1
9,2,0,-0.2,2,1
9,2,30,0.1,2,1
9,2,60,-0.2,2,1
9,2,90,0.4,2,1
10,2,0,-0.1,4,1
10,2,30,-0.2,4,1
10,2,60,0.7,4,1
10,2,90,-0.3,4,1
11,3,0,-1.8,5,1
11,3,30,0.2,5,1
11,3,60,0.1,5,1
11,3,90,0.6,5,1
12,3,0,-0.5,3,1
12,3,30,0,3,1
12,3,60,1,3,1
12,3,90,0.5,3,1
13,3,0,-1,7,1
13,3,30,-0.3,7,1
13,3,60,-2.1,7,1
13,3,90,0.6,7,1
14,3,0,0.4,6,1
14,3,30,0.4,6,1
14,3,60,-0.7,6,1
14,3,90,-0.3,6,1
15,3,0,-0.5,4,1
15,3,30,0.9,4,1
15,3,60,-0.4,4,1
15,3,90,-0.3,4,1
